aspect,description,sentiment
mission,regular,0.0
group,other,-0.125
people,respectable,0.5
game,incomplete,-1.0
game,proper,0.5
friend,online,0.0
play,fantastic,0.4
pistol,good,0.7
crash,constant,0.0
game,gold,1.0
game,buggy,-1.0
challenge,many,0.5
camp,easy,0.43333333333333335
people,so bad,-0.6999999999999998
game,so much,0.2
campaign,fun,0.3
up,great,0.8
my,utter,0.0
match,fun,0.3
signal,slow,-0.30000000000000004
map,so small,-0.25
sniper,great,0.8
control,direct,0.1
game,amazing,0.6000000000000001
part,major,0.0625
style,negative,-0.3
cod,good,0.7
wife,good,0.7
game,again close,0.0
game,happy,0.8
game,almost unplayable,-0.4
spawn,unpopular,-1.0
level,good,0.7
screen,black,-0.16666666666666666
guy,single,-0.07142857142857142
update,even bad,-0.6999999999999998
game,full,0.35
system,so flawed,-0.5
part,true,0.35
improvement,consistently great,0.8
issue,large,0.21428571428571427
play,good,0.7
game,other,-0.125
enemy,near,0.1
help,lose,-1.0
game,mindless,-0.2
fun,different,0.0
feature,least,-0.3
multiplayer,frequent,0.1
play,least,-0.3
spec,sufficient,1.0
gamer,other,-0.125
reality,virtual,0.0
game,worth,0.3
movement,slow,-0.30000000000000004
map,only few,-0.1
feature,new,0.13636363636363635
map,new,0.13636363636363635
warfare,modern,0.2
cyberpunk,well,1.0
computer,single,-0.07142857142857142
issue,same,0.0
ton,other,-0.125
state,awful,-1.0
game,mediocre,-0.5
game,other,-0.125
cater,stupid,-0.7999999999999999
people,prone,0.0
game,hard,-0.2916666666666667
game,good,0.7
amount,insane,-1.0
rest,counter productive,0.0
option,so strong,0.4333333333333333
map,bad,-0.6999999999999998
call,wrong,-0.5
call,awful,-1.0
game,bad,-0.6999999999999998
game,fucking,-0.6
issue,little,-0.1875
game,nice,0.6
force,disconnected,0.0
neanderthal,okay,0.5
game,new,0.13636363636363635
love,disable,-1.0
break,frequent,0.1
game,unplayable,-0.4
war,imaginable,0.0
game,bankrupt,-1.0
player,fair,0.7
guarantee,top,0.5
player,fast,0.2
chance,such,0.0
player,pesky,0.0
player,most,0.5
map,minimal,-0.1
fire,feeble,-0.5
audience,most,0.5
feeder,twitchy,0.0
patch,much,0.2
person,third,0.0
game,flicker,-1.0
experience,bad,-0.6999999999999998
love,very sized,0.2
campaign,decent,0.16666666666666666
multiplayer,absolutely full,0.35
gamer,finished,0.0
text,too confusing,-0.3
match,good,0.7
series,less,-0.16666666666666666
op,well,1.0
system,strong,0.4333333333333333
match,quick,0.3333333333333333
chance,same,0.0
ward,former,0.0
bug,terrible,-1.0
campaign,enjoyable,0.5
character,bad,-0.6999999999999998
multiplayer,least,-0.3
aspect,bad,-0.6999999999999998
work,too frustrating,-0.4
issue,first,0.25
game,awful,-1.0
game,smooth,0.4
rape,hilarious,0.5
game,so smooth,0.4
map,few,-0.2
game,very demanding,0.2
gun,amazing,0.6000000000000001
cod,new,0.13636363636363635
matchmaking,pretty decent,0.20833333333333331
bug,most annoying,-0.15000000000000002
play,great,0.8
game,realistic,0.16666666666666666
game,well,1.0
game,most expensive,0.0
name,sad,-0.5
audio,good,0.7
campaign,good,0.7
game,good,0.7
people,standard,0.0
crash,constantly unplayable,-0.4
multiplayer,cool,0.35
system,bad,-0.6999999999999998
none,unreliable,-1.0
authenticator,wrong,-0.5
game,even close,0.0
player,fun,0.3
issue,boring,-1.0
vision,due,-0.125
vision,ashamed,-1.0
war,cold,-0.6
annoyance,too spongy,0.0
loss,break,-1.0
campaign,ridiculous,-0.3333333333333333
match,enough smooth,0.45
online,crazy,-0.6
people,too many,0.5
mediocre,poor,-0.4
connection,offline,0.0
screen,unlock,0.0
crashing,incredibly bad,-0.6999999999999998
12700k,bad,-0.6999999999999998
experience,well,1.0
match,positive,0.22727272727272727
silence,dead,-0.2
match,stale,-0.5
menu,absolutely awful,-1.0
lead,frustrating,-0.4
platinum,more,0.5
change,unlock,0.0
ship,just few,-0.2
majority,way too easy,0.43333333333333335
radar,slow,-0.30000000000000004
campaign,good,0.7
story,large,0.21428571428571427
design,much,0.2
enemy,veteran,0.0
one,more,0.5
gunplay,very polished,1.0
game,beautiful,0.85
multiplayer,fun,0.3
requirement,unlock,0.0
mode,overall,0.0
coop,thin,-0.4
moment,too crazy,-0.6
mode,pretty fun,0.275
graphic,great,0.8
game,previous,-0.16666666666666666
play,less,-0.16666666666666666
lot,especially 3rd,0.0
menu,more,0.5
campaign,good,0.7
day,mere,-0.5
game,full,0.35
game,fun,0.3
game,good,0.7
landscape,same,0.0
game,high,0.16
game,most,0.5
game,arguably enjoyable,0.5
touch,new,0.13636363636363635
issue,minute,0.0
crash,pretty good,0.475
game,that great,0.8
engine,most,0.5
campaign,tactical,0.0
matchmaking,similar,0.0
idea,bored,-0.5
rate,enough good,0.6
map,good,0.7
weapon,good,0.7
progression,good,0.7
play,good,0.7
game,awesome,1.0
game,terribly buggy,-1.0
pit,very long,-0.065
people,hot,0.25
feature,modern,0.2
game,most boring,-0.25
performance,special,0.35714285714285715
game,good,0.7
game,good,0.7
campaign,amazing,0.6000000000000001
op,light,0.4
vision,little,-0.1875
game,as dumb,-0.375
issue,graphic,0.0
update,new,0.13636363636363635
charge,even worth,0.3
performance,bad,-0.6999999999999998
crashing,worth,0.3
game,stable,1.0
game,more stable,0.75
campaign,amazing,0.6000000000000001
crash,worth,0.3
game,such,0.0
map,bad,-0.6999999999999998
mode,much,0.2
campaign,kinda short,0.0
campaign,great,0.8
rest,decent,0.16666666666666666
campaign,hard,-0.2916666666666667
multiplayer,able,0.5
game,bad,-0.6999999999999998
time,other,-0.125
beta,bad,-0.6999999999999998
campaign,most,0.5
loss,dark,-0.15
soap,new,0.13636363636363635
game,playable,0.0
game,unplayable,-0.4
campaign,epic,0.1
game,so great,0.8
total,very poor,-0.52
fun,great,0.8
game,solid,0.5
map,modern,0.2
progress,also completely reset,0.1
hour,rough,-0.1
rig,gigabyte,0.0
gunplay,amazing,0.6000000000000001
game,more tactical,0.5
come,honest,0.6
thing,bad,-0.6999999999999998
graphic,good,0.7
gun,good,0.7
stability,poor,-0.4
stability,good,0.7
spawn,absolute,0.2
fact,dumb,-0.375
blops2,high,0.16
kill,many,0.5
attachment,con,0.0
good,naked,0.0
change,long,-0.05
game,so good,0.7
story,awesome,1.0
one,pretty good,0.475
game,only,0.0
campaign,worth,0.3
multiplayer,enjoyable,0.5
map,great,0.8
sweaty,back,0.0
game,devious,-1.0
game,very short,0.0
company,sure,0.5
rest,decent,0.16666666666666666
campaign,short,0.0
lot,good,0.7
game,terrible,-1.0
crash,sick,-0.7142857142857143
game,too buggy,-1.0
customization,great,0.8
update,last,0.0
shave,playable,0.0
map,unbelievable,-0.25
player,key,0.0
cheater,good,0.7
point,horrible,-1.0
registration,horrible,-1.0
character,aim,0.0
screen,whole,0.2
map,small,-0.25
franchise,such,0.0
spec,top,0.5
game,perfect,1.0
cod,bad,-0.6999999999999998
controller,main,0.16666666666666666
game,ready,0.2
game,ready,0.2
campaign,really good,0.7
game,whole,0.2
map,really great,0.8
op,repayable,0.0
part,new,0.13636363636363635
campaign,difficult,-0.5
game,worth,0.3
cut,tired,-0.4
ghost,general,0.05000000000000002
age,persistent,0.0
campaign,enjoyable,0.5
diamond,useless,-0.5
feature,poor,-0.4
product,main,0.16666666666666666
player,golden,0.3
game,friendly,0.375
map,major,0.0625
lot,wise,0.7
screen,graphical,0.0
thought,final,0.0
match,unnecessary,-0.4
game,good,0.7
sensation,hard,-0.2916666666666667
play,real,0.2
vision,very frustrated,-0.9099999999999999
load,much,0.2
sharing,disable,-1.0
mechanic,bad,-0.6999999999999998
game,more good,0.6
def,shitty,0.0
game,mw2,0.0
game,real,0.2
game,same,0.0
system,constant,0.0
story,other,-0.125
multiplayer,enjoyable,0.5
thing,lock,0.0
liner,actual,0.0
kind,actual,0.0
campaign,utter,0.0
multiplayer,pathetic,-1.0
time,quite spectacular,0.6
mission,exciting,0.3
mission,most,0.5
piece,finally snowmobile,0.0
story,horrendous,-1.0
infatuation,bad,-0.6999999999999998
story,painfully generic,0.0
character,stereotypical,-0.5
aftermath,real,0.2
game,bloodthirsty,-0.5
mission,real,0.2
lack,high,0.16
corporation,very much,0.26
community,derogatory,-1.0
game,russian,0.0
parent,newfound,0.0
developer,once,0.0
world,good,0.7
fantasy,new,0.13636363636363635
game,final,0.0
response,more,0.5
game,underdeveloped,0.0
game,mixed,0.0
experience,bad,-0.6999999999999998
campaign,great,0.8
mission,old,0.1
card,high,0.16
selection,poor,-0.4
selection,poor,-0.4
game,too many,0.5
campaign,competent,0.5
campaign,bad,-0.6999999999999998
like,other,-0.125
game,awful,-1.0
game,good,0.7
menu,pretty,0.25
driver,graphic,0.0
game,typical,-0.16666666666666666
campaign,good,0.7
multiplayer,decent,0.16666666666666666
one,few,-0.2
lot,finished,0.0
game,worth,0.3
war,so many,0.5
game,publish,0.0
game,improve,1.0
game,atomic,0.0
campaign,short,0.0
map,fennec,0.0
matchmaking,casual,-0.5000000000000001
sweat,other,-0.125
game,casual,-0.5000000000000001
game,completely break,-1.0
ban,permanent,0.0
launcher,great,0.8
match,inconsistent,-1.0
price,absurd,-0.5
performance,atrocious,-0.7
poop,toot,0.0
driver,stable,1.0
map,uninspired,-0.5
campaign,bad,-0.6999999999999998
game,new,0.13636363636363635
bug,few,-0.2
selection,inferior,-1.0
campaign,new,0.13636363636363635
cheater,too much,0.2
downfall,long,-0.05
bug,so many,0.5
line,interesting,0.5
game,very bad,-0.9099999999999998
game,worth,0.3
game,good,0.7
game,safe,0.5
campaign,really fun,0.3
variety,solid,0.5
coop,easy,0.43333333333333335
multiplayer,too bad,-0.6999999999999998
multiplayer,pretty good,0.475
content,imaginable,0.0
thing,chief,0.0
game,enjoyable,0.5
cheat,anti,0.0
balance,decent,0.16666666666666666
game,perfect,1.0
hater,fun,0.3
campaign,fine,0.4166666666666667
crashing,good,0.7
cod,good,0.7
player,great,0.8
stuff,great,0.8
game,primal,0.0
pistol,powerful,0.3
play,just so many,0.5
op,many,0.5
match,low,0.0
gun,disabled,-0.2
operator,long,-0.05
galore,large,0.21428571428571427
game,extra,0.0
warfare,close,0.0
update,first,0.25
line,excellent,1.0
game,same,0.0
radar,portable,1.0
size,lame,-0.5
campaign,awesome,1.0
multiplayer,average,-0.15
problem,only,0.0
multiplayer,old,0.1
name,impossible,-0.6666666666666666
thing,previous,-0.16666666666666666
story,nice,0.6
gun,meta,0.0
menu,so bad,-0.6999999999999998
game,enjoyable,0.5
issue,constant,0.0
game,less,-0.16666666666666666
fix,worth,0.3
game,negative,-0.3
company,hardcore,0.0
crash,connect,0.0
multiplayer,hot,0.25
audio,so amazing,0.6000000000000001
fine,fine,0.4166666666666667
game,other,-0.125
comm,classic,0.16666666666666666
map,several,0.0
system,unlike,0.0
game,old,0.1
refund,real,0.2
game,really bad,-0.6999999999999998
team,free,0.4
campaign,consistent,0.25
straw,completely uninstall,0.1
piece,least,-0.3
entry,past,-0.25
highway,good,0.7
patching,extra,0.0
work,marked,0.1
game,able,0.5
pace,decent,0.16666666666666666
game,great,0.8
internet,slow,-0.30000000000000004
map,kinda lame,-0.5
game,full,0.35
game,most,0.5
fuck,bad,-0.6999999999999998
cod,old,0.1
game,mid,0.0
amount,surprised,0.1
silence,early,0.1
gun,good,0.7
system,just so bad,-0.6999999999999998
game,unplayable,-0.4
game,good,0.7
oil,less,-0.16666666666666666
neighbour,swear,0.0
bro,same,0.0
game,crash,-1.0
system,last,0.0
campaign,somewhat good,0.7
player,i9s,0.0
game,shitty,0.0
deadline,miss,-1.0
lot,low,0.0
game,same,0.0
campaign,bad,-0.6999999999999998
fuck,more,0.5
game,far less,-0.033333333333333326
gun,strictly bad,-0.6999999999999998
campaign,memorable,0.5
assist,just ridiculous,-0.3333333333333333
game,weird,-0.5
complaint,kinda bad,-0.6999999999999998
d,pricey,-1.0
game,scandinavian,0.0
game,pretty good,0.475
game,pretty solid,0.375
one,only,0.0
sync,soft,0.1
class,literal,0.0
matchmaking,stupid,-0.7999999999999999
game,already unbalanced,0.0
optimization,good,0.7
cry,bad,-0.6999999999999998
play,good,0.7
game,impossible,-0.6666666666666666
option,open,0.0
enemy,multiple,0.0
cinematic,intense,0.2
store,probably just salty,0.0
file,corrupt,-0.5
base,false,-0.4000000000000001
team,aware,0.25
deus,old,0.1
majority,good,0.7
balance,existent,0.0
game,laughable,-0.5
gunplay,very solid,0.65
game,more difficult,0.0
stuff,worth,0.3
campaign,decent,0.16666666666666666
game,bad,-0.6999999999999998
part,fun,0.3
sale,once outsold,0.0
dad,more creative,0.5
game,other,-0.125
game,good,0.7
match,destructible,0.0
assist,absolutely insane,-1.0
player,second,0.0
cross,dead,-0.2
design,chaotic,-1.0
system,terrible,-1.0
game,lacking,-1.0
menu,convoluted,-1.0
ruin,perk,0.0
penetration,fuck,-0.4
work,new,0.13636363636363635
game,high,0.16
issue,only,0.0
screen,other,-0.125
lot,false,-0.4000000000000001
game,sad,-0.5
lag,unable,-0.5
war,top,0.5
story,boringly predictable,-0.2
consequence,so obvious,0.0
ally,major,0.0625
cast,whole,0.2
actor,summarise,0.0
challenge,long,-0.05
play,as good,0.7
play,great,0.8
fan,very buggy,-1.0
game,bad,-0.6999999999999998
game,really bad,-0.6999999999999998
story,other,-0.125
game,less,-0.16666666666666666
experience,lazy,-0.25
war,boring,-1.0
setting,mic,0.0
game,even funny,0.25
game,single,-0.07142857142857142
game,bad,-0.6999999999999998
campaign,amazing,0.6000000000000001
op,fun,0.3
multiplayer,terrible,-1.0
game,great,0.8
bug,perfect,1.0
multiplayer,nice,0.6
mode,good,0.7
game,awesome,1.0
piece,real,0.2
multiplayer,black,-0.16666666666666666
card,so buggy,-1.0
game,huge,0.4000000000000001
crash,usual,-0.25
woman,hot,0.25
game,angry,-0.5
game,worth,0.3
vision,quick,0.3333333333333333
audacity,less,-0.16666666666666666
game,veteran,0.0
game,bad,-0.6999999999999998
rest,weird,-0.5
game,early,0.1
review,single,-0.07142857142857142
deus,modern,0.2
appeal,falsely perm,-0.4000000000000001
map,cool,0.35
game,previous,-0.16666666666666666
design,incredible,0.9
play,good,0.7
selection,too small,-0.25
weapon,full,0.35
story,absolute,0.2
multiplayer,good,0.7
sharing,angry,-0.5
bind,fifteenth,0.0
game,intend,0.0
computer,unacceptable,-1.0
computer,ryan,0.0
error,even offline,0.0
call,wannabe cool,0.35
spawn,bad,-0.6999999999999998
shit,bad,-0.6999999999999998
vida,late,-0.3
issue,agnostic,0.0
time,much more,0.5
style,other,-0.125
player,different,0.0
exception,purely unlock,0.21428571428571427
attachment,military,-0.1
weapon,unlock,0.0
map,more,0.5
developer,available,0.4
mission,very generic,0.0
reward,several,0.0
problem,enough fun,0.4
game,limo,0.0
op,only,0.0
picture,net,0.0
weapon,marksman,0.0
camping,good,0.7
mechanic,1st,0.0
game,trash,-1.0
gunplay,bad,-0.6999999999999998
plot,super boring,-0.33333333333333337
reboot,key,0.0
problem,blind,-0.5
launch,absolutely awful,-1.0
movement,amazing,0.6000000000000001
game,most,0.5
campaign,almost perfect,1.0
campaign,main,0.16666666666666666
mission,fail,-0.5
system,awful,-1.0
checkpoint,white,0.0
progression,kind meh,0.6
part,good,0.7
bind,key,0.0
character,revive,1.0
war,bad,-0.6999999999999998
card,well,1.0
campaign,pretty entertaining,0.375
animation,solid,0.5
game,few,-0.2
content,sparse,0.0
mission,next,0.0
campaign,weak,-0.375
light,happy,0.8
system,reversible,0.0
game,5th,0.0
maze,balanced,1.0
campaign,frustrating,-0.4
game,separate,0.0
game,fresh,0.3
plan,super excited,0.35416666666666663
cod,bad,-0.6999999999999998
town,nuke,0.0
part,perfect,1.0
game,first,0.25
game,downright radioactive,0.0
map,retired,0.0
campaign,honest,0.6
multiplayer,other,-0.125
point,unplayable,-0.4
side,net,0.0
corps,big,0.0
game,very small,-0.325
people,bad,-0.6999999999999998
game,pretty dirty,-0.175
hero,bad,-0.6999999999999998
map,much more,0.5
game,completely ready,0.2
mission,pop,0.0
fps,fine,0.4166666666666667
game,fun,0.3
game,good,0.7
detail,awesome,1.0
game,kinda impossible,-0.6666666666666666
system,unlock,0.0
call,great,0.8
review,unavailable,-1.0
enemy,fun,0.3
cod,mw2,0.0
mode,fun,0.3
con,big,0.0
con,social,0.03333333333333333
activity,social,0.03333333333333333
story,awesome,1.0
thing,invisible,-1.0
campaign,good,0.7
graphic,great,0.8
invasion,fun,0.3
multiplayer,constant,0.0
game,more,0.5
lot,modern,0.2
reticle,split,-1.0
map,much bad,-0.6999999999999998
game,very tedious,-0.65
game,invisible,-1.0
sniper,very satisfying,0.65
campaign,kinda short,0.0
tide,dark,-0.15
graphic,smooth,0.4
doz,free,0.4
issue,just painstakingly obvious,0.0
shoot,such,0.0
team,easy,0.43333333333333335
mode,unlock,0.0
spawn,bad,-0.6999999999999998
multiplayer,just fun,0.3
staple,present,0.0
barracks,hardcore,0.0
campaign,very short,0.0
game,full,0.35
play,glorious,1.0
menu,goddamn slow,-0.30000000000000004
step,tedious,-0.5
play,worth,0.3
gunplay,constant,0.0
multiplayer,hardcore,0.0
people,good,0.7
game,ratty,0.0
cod,well alive,0.55
dog,modern,0.2
game,absolute,0.2
mission,long,-0.05
mission,whopping,0.0
guy,very fun,0.39
selection,single,-0.07142857142857142
brain,last,0.0
op,actually fun,0.3
fax,first,0.25
vida,very reliable,1.0
cod,really fun,0.3
game,super fun,0.31666666666666665
gun,bad,-0.6999999999999998
vision,hot,0.25
mode,first,0.25
system,just good,0.7
map,wise,0.7
map,so small,-0.25
map,okay,0.5
game,unplayable,-0.4
feeling,sublime,1.0
campaign,good,0.7
map,so many,0.5
game,too bad,-0.6999999999999998
performance,well,1.0
stability,okay,0.5
game,more fleshed,0.5
grind,easy,0.43333333333333335
platforming,cool,0.35
lot,low,0.0
graphic,good,0.7
system,more rewarding,0.5
lack,ridiculous,-0.3333333333333333
package,entire,0.0
game,totally unfinished,-1.0
game,so many,0.5
crash,other,-0.125
burger,compare,0.0
bug,so many,0.5
crash,terrible,-1.0
limo,worth,0.3
game,pretty nil,0.25
system,just much,0.2
work,late,-0.3
game,far too much,0.15000000000000002
stop,good,0.7
game,refreshing,0.5
gunplay,really good,0.7
game,more,0.5
sweat,new,0.13636363636363635
setting,quick,0.3333333333333333
readability,bad,-0.6999999999999998
rifleman,single,-0.07142857142857142
enemy,crouch,0.0
system,needlessly complicated,-0.5
footstep,loud,0.1
sniper,real,0.2
kid,playable,0.0
campaign,validate,0.0
story,first,0.25
people,nice,0.6
camper,big,0.0
crash,new,0.13636363636363635
cross,useless,-0.5
crash,modern,0.2
thing,same,0.0
game,just bad,-0.6999999999999998
lot,false,-0.4000000000000001
game,unfinished,-1.0
flicker,graphic,0.0
player,ridiculously overpower,-1.0
computer,remotely close,-0.1
movement,less crisp,0.04166666666666667
weapon,strangely caliper,-0.05
campaign,last,0.0
series,modern,0.2
campaign,twist,-1.0
system,general,0.05000000000000002
system,good,0.7
menu,clunky,-1.0
call,black,-0.16666666666666666
people,as bad,-0.6999999999999998
streamer,bad,-0.6999999999999998
time,old,0.1
player,fucking,-0.6
people,next,0.0
game,too expensive,-0.5
game,great,0.8
vision,free,0.4
review,poor,-0.4
game,first,0.25
graphic,good,0.7
cause,next,0.0
decision,final,0.0
people,brilliant,0.9
bug,permian,0.0
game,single,-0.07142857142857142
toxicity,lovely,0.5
campaign,straight,0.2
thing,great,0.8
pc,well,1.0
story,short,0.0
campaign,unplayable,-0.4
game,first,0.25
game,full,0.35
point,terrible,-1.0
galore,questionable,-0.5
game,fun,0.3
atmosphere,just sad,-0.5
breaker,unable,-0.5
aim,just horrendous,-1.0
fps,ready,0.2
camping,real,0.2
game,awesome,1.0
man,blind,-0.5
play,unavailable,-1.0
match,same,0.0
guy,long,-0.05
ban,possible,0.0
use,most,0.5
mode,graphic,0.0
crash,random,-0.5
customization,little,-0.1875
game,absolute,0.2
play,disable,-1.0
multiplayer,iffy,0.0
guy,high,0.16
assist,ridiculous,-0.3333333333333333
ward,separate,0.0
assist,so disgusting,-1.0
campaign,tiny,0.0
dollar,old,0.1
problem,great,0.8
game,good,0.7
downgrade,similar,0.0
game,old,0.1
alejandro,most tense,0.08333333333333334
game,awful,-1.0
campaign,good,0.7
server,little,-0.1875
game,so smooth,0.4
game,fun,0.3
game,good,0.7
game,single,-0.07142857142857142
play,dumb,-0.375
game,good,0.7
multiplayer,modern,0.2
developer,innovate,0.0
ass,save,0.0
reason,late,-0.3
game,unfinished,-1.0
campaign,epic,0.1
game,incomplete,-1.0
handful,absolute,0.2
game,top,0.5
game,enjoyable,0.5
people,major,0.0625
teacher,well,1.0
game,ill,-0.5
advice,nice,0.6
campaign,high,0.16
thing,same,0.0
lack,miss,-1.0
game,bad,-0.6999999999999998
gunplay,bad,-0.6999999999999998
game,technical,0.0
account,enough,0.5
game,new,0.13636363636363635
story,modern,0.2
fidelity,good,0.7
design,most beautiful,0.675
character,sluggish,-1.0
server,laggy,-1.0
game,shoddy,-0.3
shotgun,prevalent,0.0
people,fatal,-1.0
people,multiple,0.0
people,too little,-0.1875
people,useless,-0.5
people,super,0.3333333333333333
reward,slight,-0.16666666666666666
platform,neat,1.0
challenge,big,0.0
camp,inherently boring,-1.0
game,own,0.6
controller,genuinely superior,0.7
situation,national,0.0
amount,heavy,-0.2
game,fairly exploitable,0.7
people,chill,-1.0
movement,stale,-0.5
issue,bad,-0.6999999999999998
issue,less,-0.16666666666666666
name,jimmy,0.0
game,ready,0.2
list,massive,0.0
problem,just embarrassing,-1.0
reason,modern,0.2
pc,able,0.5
campaign,very good,0.9099999999999999
multiplayer,pretty fun,0.275
game,crash,-1.0
reformer,almost as reliable,1.0
crash,very annoying,-1.0
gun,good,0.7
sir,good,0.7
killing,very bad,-0.9099999999999998
divert,male,0.0
carla,ali,0.0
perch,massive,0.0
piccolo,inevitable,-0.5
suicide,solo,0.0
object,regular,0.0
lockwood,ryan,0.0
campaign,good,0.7
multiplayer,different,0.0
map,very limited,-0.09285714285714286
concept,bad,-0.6999999999999998
game,buggy,-1.0
crash,corrupt,-0.5
weapon,enough,0.5
game,bad,-0.6999999999999998
game,worth,0.3
game,very fun,0.39
mode,hardcore,0.0
issue,major,0.0625
play,sure,0.5
campaign,awesome,1.0
game,so damn good,-0.15000000000000002
audio,enough decent,0.3333333333333333
rifle,marksman,0.0
speaking,new,0.13636363636363635
one,least,-0.3
game,other,-0.125
issue,actually laughable,-0.5
deus,least,-0.3
game,otherwise great,0.8
game,well,1.0
cod,classic,0.16666666666666666
gun,more,0.5
bug,bad,-0.6999999999999998
game,great,0.8
minority,clear,0.10000000000000002
game,fine,0.4166666666666667
game,friendly,0.375
community,old,0.1
game,wise,0.7
multiplayer,alright,0.0
game,last,0.0
website,fiver,0.0
game,most refunded,0.75
game,really special,0.35714285714285715
fun,good,0.7
game,disable,-1.0
game,bad,-0.6999999999999998
feedback,furry,0.0
game,live,0.13636363636363635
campaign,redeemable,0.0
multiplayer,terrible,-1.0
people,very strong,0.5633333333333334
footstep,mini,0.0
graphic,old,0.1
game,good,0.7
gunplay,unreal,1.0
game,low,0.0
unit,low,0.0
system,old,0.1
lot,just still new,0.13636363636363635
fact,just insanely dumb,-0.375
game,sure,0.5
campaign,many,0.5
game,late,-0.3
movement,very smooth,0.52
whizz,great,0.8
graphic,absolutely amazing,0.6000000000000001
search,most,0.5
rest,mid,0.0
navigation,enough,0.5
gun,few,-0.2
people,extra,0.0
thing,hardcore,0.0
multiplayer,most frustrating,0.04999999999999999
lack,available,0.4
game,more complete,0.3
game,so nice,0.6
sharing,separate,0.0
call,modern,0.2
pop,modern,0.2
movement,previous,-0.16666666666666666
mechanic,more,0.5
classic,playable,0.0
look,outstanding,0.5
map,more colourful,0.5
footstep,slightly too loud,-0.033333333333333326
nostalgic,other,-0.125
h1conclusionh1listwe,happy,0.8
menu,little,-0.1875
game,too much,0.2
mw2,wonderful,1.0
war,unlock,0.0
horse,loud,0.1
attachment,less,-0.16666666666666666
joke,amazing,0.6000000000000001
multiplayer,perfect,1.0
campaign,high,0.16
movement,viable,0.0
design,large,0.21428571428571427
rifle,single,-0.07142857142857142
rifle,enough,0.5
designer,aesthetic,0.0
game,current,0.0
pace,missing,-0.2
map,many,0.5
spawn,really bad,-0.6999999999999998
campaign,too long,-0.05
mastery,sick,-0.7142857142857143
map,terrible,-1.0
attachment,horrible,-1.0
game,general,0.05000000000000002
game,casual,-0.5000000000000001
account,unauthorized,0.0
game,full,0.35
enemy,white,0.0
review,low,0.0
bind,constant,0.0
option,graphic,0.0
flanking,endless,-0.125
multiplayer,limo,0.0
campaign,other,-0.125
multiplayer,outrageous,-1.0
game,bad,-0.6999999999999998
game,absolute,0.2
community,racist,-1.0
award,bad,-0.6999999999999998
crash,good,0.7
smoke,insane,-1.0
graphic,new,0.13636363636363635
campaign,single,-0.07142857142857142
ton,still very fun,0.39
war,bad,-0.6999999999999998
company,much less,-0.16666666666666666
restart,clunky,-1.0
play,exciting,0.3
fight,amazing,0.6000000000000001
setting,sure,0.5
luck,bad,-0.6999999999999998
forbes,casual,-0.5000000000000001
game,amazing,0.6000000000000001
game,much,0.2
call,sim,0.0
campaign,modern,0.2
difference,new,0.13636363636363635
game,more,0.5
game,actually insufferable,-1.0
campaign,sad,-0.5
issue,other,-0.125
gun,good,0.7
sound,good,0.7
system,too fast,0.2
campaign,amazing,0.6000000000000001
stuff,new,0.13636363636363635
mode,as many,0.5
match,awful,-1.0
gunplay,refine,1.0
fact,wild,0.1
showcase,as bad,-0.6999999999999998
game,fun,0.3
game,recent,0.0
game,hot,0.25
product,net,0.0
instinct,sole,0.0
people,happy,0.8
crashing,brutal,-0.875
tag,insanely steep,-1.0
deus,last,0.0
warfare,well,1.0
grind,much bad,-0.6999999999999998
campaign,phenomenal,0.5
company,automate,0.0
cod,old,0.1
folk,hire,0.0
consensus,awful,-1.0
people,almost useless,-0.5
hardcore,long,-0.05
person,other,-0.125
patch,more,0.5
weapon,active,-0.13333333333333333
campaign,good,0.7
campaign,favourite,0.0
campaign,still good,0.7
game,fun,0.3
op,3v3,0.0
play,pro,0.0
beta,big,0.0
game,out,0.0
stability,despicable,-1.0
listen,just bad,-0.6999999999999998
shot,full,0.35
game,complete,0.1
cod,good,0.7
ward,wrong,-0.5
one,able,0.5
system,perk,0.0
story,pretty,0.25
multiplayer,usual,-0.25
game,buggy,-1.0
game,full,0.35
tag,as polished,1.0
game,high,0.16
selection,too small,-0.25
war,less,-0.16666666666666666
mode,more,0.5
system,awful,-1.0
map,way too big,0.0
season,basic,0.0
thing,clear,0.10000000000000002
game,competitive,1.0
speed,absolutely atrocious,-0.7
silence,even silent,0.5
tag,insane,-1.0
campaign,pretty good,0.475
ray,enough,0.5
interest,toxic,-1.0
judge,good,0.7
game,previous,-0.16666666666666666
game,unarmed,0.0
one,first,0.25
iteration,extremely unreliable,-1.0
performance,adequate,0.3333333333333333
one,damn,-1.0
voice,toxic,-1.0
game,old,0.1
mechanic,great,0.8
game,amazing,0.6000000000000001
gun,so most,0.5
stat,dead,-0.2
thing,only,0.0
game,worth,0.3
server,really bad,-0.6999999999999998
developer,idiot,-0.8
crashing,due,-0.125
one,just sad,-0.5
company,pathetic,-1.0
map,worth,0.3
cod,confusing,-0.3
pacing,terrible,-1.0
game,just enjoyable,0.5
sniper,entirely counter,0.0
movement,clunky,-1.0
time,slow,-0.30000000000000004
map,empty,-0.1
rank,1st,0.0
probe,cheap,0.4
reload,essentially impossible,-0.6666666666666666
campaign,enjoyable,0.5
campaign,great,0.8
price,enough fair,0.6
game,new,0.13636363636363635
game,smooth,0.4
layout,hardcore,0.0
op,more realistic,0.3333333333333333
campaign,linear,0.0
